id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
e498dcf713d249d5256fdc308cb589ce,krakow,blockOfFlats,35.0,2.0,1.0,5.0,2021.0,50.0449412,19.957298,1.77,28.0,0.21,0.563,0.257,0.554,0.018,1.146,0.053,condominium,,premium,yes,no,yes,no,no,3200
7c0a84359e9f5e88712e688117ccc3ab,krakow,apartmentBuilding,50.0,2.0,4.0,6.0,,50.0786614,19.9369787,2.6,11.0,0.583,0.198,0.524,0.497,0.296,0.743,0.475,condominium,brick,premium,yes,yes,yes,no,no,5000
405aff368aa2ee9bf74938c66cbe0dce,krakow,,52.0,2.0,5.0,6.0,2022.0,50.05636,19.9626,1.73,15.0,0.356,0.242,0.443,0.339,0.113,0.588,0.305,condominium,,,no,yes,no,no,no,5600
53e176d815f2c787841c3adf85e76ab4,krakow,apartmentBuilding,58.0,2.0,4.0,4.0,,50.0714339,19.9391764,1.79,40.0,0.168,0.412,0.404,0.456,0.033,0.451,0.222,condominium,brick,premium,yes,no,yes,no,no,5000
913a94c6b365d8a03cfe63b9978bb038,krakow,tenement,25.0,1.0,1.0,2.0,,50.050895,19.9452669,0.69,151.0,0.141,0.461,0.349,0.395,0.021,0.544,0.168,condominium,brick,,no,no,no,no,no,2000
d87249068548b378dbb90afd54a1de2e,krakow,apartmentBuilding,98.0,4.0,6.0,7.0,2010.0,50.049711,19.9611403,1.74,18.0,0.151,0.159,0.573,0.221,0.06,0.76,0.441,condominium,brick,premium,yes,yes,yes,no,no,7000
0f12ed3cb47a2db5ed7036808e25863a,krakow,blockOfFlats,59.0,2.0,3.0,3.0,1950.0,50.0773,20.0477,8.17,24.0,0.022,1.287,0.321,0.127,0.275,0.989,0.182,condominium,brick,,no,no,no,no,no,2500
28652679bee33eeefee114a0b7318f50,krakow,blockOfFlats,85.0,4.0,1.0,2.0,2010.0,50.0696421,19.8718866,5.01,1.0,0.663,1.562,0.655,1.301,0.442,1.673,0.797,condominium,,premium,yes,yes,no,no,no,5590
72f175e82a65ab9045519cc92d67666e,krakow,tenement,28.0,1.0,,2.0,1930.0,50.0762058,19.9435831,2.35,3.0,0.741,0.638,0.637,0.767,0.174,0.862,0.617,condominium,brick,premium,no,no,no,no,no,1900
c7a9040b3f015d68d28ade79bd6cfc5b,krakow,blockOfFlats,36.0,2.0,2.0,10.0,1970.0,50.08896,20.00898,6.27,12.0,0.217,0.895,0.417,0.187,0.34,0.616,0.284,condominium,,,yes,no,yes,no,no,2499
